,Q1A,Q2A,Q3A,Q4A,Q5A,Q6A,Q7A,Q8A,Q9A,Q10A,Q11A,Q12A,Q13A,Q14A,Q15A,Q16A,Q17A,Q18A,Q19A,Q20A,Q21A,Q22A,Q23A,Q24A,Q25A,Q26A,Q27A,Q28A,Q29A,Q30A,Q31A,Q32A,Q33A,Q34A,Q35A,Q36A,Q37A,Q38A,Q39A,Q40A,Q41A,Q42A,(,(,introelapse,testelapse,surveyelapse,TIPI1,TIPI2,TIPI3,TIPI4,TIPI5,TIPI6,TIPI7,TIPI8,TIPI9,TIPI10,VCL1,VCL2,VCL3,VCL4,VCL5,VCL6,VCL7,VCL8,VCL9,VCL10,VCL11,VCL12,VCL13,VCL14,VCL15,VCL16,education,urban,gender,engnat,age,(,hand,religion,orientation,race,voted,married,familysize,major
0,4,4,2,4,4,4,4,4,2,1,4,4,4,4,4,4,3,4,3,3,1,4,4,4,4,4,4,3,4,2,4,4,2,3,4,4,1,2,4,3,4,4,IN,2,19,167,166,1,5,7,7,7,7,7,5,1,1,1,0,0,1,1,0,1,0,0,1,0,0,0,1,1,1,2,3,2,2,16,1,1,1,12,1,10,2,1,2,
1,4,1,2,3,4,4,3,4,3,2,2,2,4,4,3,3,4,2,1,1,2,3,1,2,2,3,3,4,3,3,2,3,3,2,2,3,4,2,2,1,2,2,US,2,1,193,186,6,5,4,7,5,4,7,7,1,5,1,1,0,1,1,0,0,0,0,1,0,0,0,1,1,1,2,3,2,1,16,2,1,2,7,0,70,2,1,4,
2,3,1,4,1,4,3,1,3,2,4,2,1,4,1,4,4,4,2,2,1,4,3,2,4,2,1,2,1,2,2,4,3,1,4,3,4,4,4,2,2,1,4,PL,2,5,271,122,2,5,2,2,5,6,5,5,3,2,1,0,0,1,1,0,0,0,0,0,1,0,0,1,1,1,2,3,2,2,17,2,1,1,4,3,60,1,1,3,
3,2,3,2,1,3,3,4,2,3,3,2,1,1,4,2,2,3,1,1,2,1,1,1,1,1,2,4,1,3,3,3,1,2,4,1,1,2,1,3,4,4,2,US,2,3,261,336,1,1,7,4,6,4,6,1,6,1,1,0,0,1,1,0,0,0,0,1,0,0,0,1,1,1,1,3,2,1,13,2,1,2,4,5,70,2,1,5,biology
4,2,2,3,4,4,2,4,4,4,3,2,4,4,4,4,3,4,4,4,4,3,3,4,2,4,4,2,4,2,4,3,4,4,4,3,4,3,3,3,4,4,3,MY,2,1766,164,157,2,5,3,6,5,5,5,6,3,3,1,1,0,1,1,0,0,1,0,1,0,0,1,1,1,1,3,2,2,2,19,2,2,3,10,1,10,2,1,4,Psychology
5,1,1,2,1,3,1,1,3,3,2,1,2,1,3,2,4,2,1,1,2,1,1,1,2,1,1,1,1,3,2,2,1,4,1,3,2,2,2,1,1,1,2,US,2,4,349,213,2,1,6,1,7,7,7,2,6,7,1,1,0,1,1,0,0,0,0,1,0,0,0,0,1,1,2,3,2,2,20,2,1,1,4,1,70,2,1,4,
6,1,1,2,3,4,1,3,3,3,4,1,2,2,2,3,4,2,2,1,3,4,1,3,3,2,2,1,2,2,3,4,2,4,3,2,2,4,4,4,2,2,3,MX,2,1143,45459,170,2,5,6,5,3,2,6,3,5,5,1,1,1,1,1,0,1,0,0,1,0,0,1,1,1,1,2,3,2,2,17,2,1,1,7,2,60,2,1,4,Mechatronics engeenerieng
7,1,1,1,1,3,2,2,1,1,1,2,1,1,2,2,1,1,2,1,2,1,1,1,1,2,2,2,1,1,1,1,1,1,1,1,1,1,1,2,1,1,2,GB,2,234,232,152,7,6,4,5,3,2,6,3,5,2,1,1,0,1,1,1,0,1,0,1,0,0,1,1,1,1,4,2,2,2,29,2,1,1,2,2,60,1,1,2,Music
8,4,4,3,4,3,4,4,4,4,3,4,4,4,3,4,4,3,4,4,4,3,4,4,3,2,4,2,4,4,3,4,2,4,4,2,4,4,3,2,4,4,4,US,0,17,195,242,1,4,5,7,5,7,6,7,1,4,1,1,0,1,1,1,0,0,0,1,0,0,1,1,1,1,2,3,1,2,16,1,1,1,12,2,70,2,1,4,Psychology 
9,3,2,4,1,4,4,3,4,4,4,4,4,4,4,2,4,4,1,4,4,4,3,1,4,3,4,4,4,4,3,4,2,4,4,3,4,4,4,4,4,3,4,DE,2,2,120,140,1,7,5,7,5,7,1,2,1,7,1,0,0,1,1,0,0,0,0,1,0,0,0,1,1,1,1,1,2,2,18,2,1,1,2,2,60,2,1,3,computer programming
10,3,1,2,1,3,3,1,3,1,1,3,2,2,4,2,3,2,3,1,1,1,1,1,3,1,1,3,1,3,2,3,3,1,2,3,1,1,2,3,1,1,2,US,2,3,162,167,5,3,6,6,3,4,4,7,5,7,1,0,0,1,1,0,0,0,0,0,0,0,1,1,0,0,1,2,1,1,15,1,1,1,6,1,60,2,1,1,
11,3,3,2,2,4,3,1,3,4,3,3,3,3,3,1,1,3,2,4,3,2,4,1,2,3,3,2,2,3,3,2,2,4,3,2,3,1,2,4,3,1,2,US,2,515,511,121,6,5,6,6,6,2,5,3,3,3,1,1,0,1,1,0,0,0,0,1,1,0,0,1,1,1,2,1,2,1,18,1,1,1,6,1,60,2,1,2,
12,1,1,1,1,1,2,1,3,1,3,3,2,3,4,1,3,3,2,4,2,3,2,1,2,1,3,3,1,3,3,1,1,1,2,1,2,4,2,4,2,3,2,US,0,12,113,148,5,1,4,6,5,5,7,6,2,1,1,1,0,0,1,0,0,1,0,1,0,0,1,1,1,1,3,0,2,1,20,1,1,1,1,1,60,2,1,2,Sociology
13,1,4,1,2,3,1,1,3,2,1,2,1,4,1,1,3,4,3,1,1,1,3,2,3,1,1,2,3,3,3,2,2,2,1,1,4,1,1,2,4,2,3,EE,2,84,175,162,5,2,5,5,2,6,7,6,6,2,1,1,0,1,1,0,0,1,0,1,0,0,1,1,1,1,4,2,1,2,31,2,1,1,12,1,60,2,1,5,Art
14,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,US,2,2,143,228,3,5,6,1,6,5,3,2,7,2,1,1,1,1,1,0,1,1,0,1,1,1,1,1,1,1,3,2,1,1,34,2,1,1,1,1,60,1,3,2,Biology and Philosophy dual major
